Institute ID,Name,City,State,Score,Rank
IR-E-C-26162,Vasavi College of EngineeringMore Details |  |,Hyderabad,Telangana,31.46,187
IR-E-C-17913,Gayatri Vidya Parishad College of EngineeringMore Details |  |,Visakhapatnam,Andhra Pradesh,31.38,188
IR-E-C-27089,National Engineering CollegeMore Details |  |,Kovilpatti,Tamil Nadu,31.36,189
IR-E-C-26905,G.Pulla Reddy Engineering CollegeMore Details |  |,Kurnool,Andhra Pradesh,31.35,190
IR-E-C-6192,Institute of Engineering & ManagementMore Details |  |,Kolkata,West Bengal,31.33,191
IR-E-C-16476,Sri Sai Ram Institute of TechnologyMore Details |  |,Chennai,Tamil Nadu,31.32,192
IR-E-U-0129,Dharmsinh Desai UniversityMore Details |  |,Nadiad,Gujarat,31.29,193
IR-E-U-0405,The LNM Institute of Information TechnologyMore Details |  |,Jaipur,Rajasthan,31.24,194
IR-E-U-0162,Guru Jambheshwar University of Science and TechnologyMore Details |  |,Hisar,Haryana,31.23,195
IR-E-C-42227,Dr. D. Y. Patil Institute of TechnologyMore Details |  |,Pune,Maharashtra,31.15,196
IR-E-C-49660,Pimpri Chinchwad College of EngineeringMore Details |  |,Pune,Maharashtra,31.13,197
IR-E-C-34167,Ramrao Adik Institute of TechnologyMore Details |  |,Navi Mumbai,Maharashtra,31.11,198
IR-E-C-48145,BVRIT HyderabadMore Details |  |,Hyderabad,Telangana,31.1,199
IR-E-U-0615,National Institute of Technology Arunachal PradeshMore Details |  |,Itanagar,Arunachal Pradesh,31.09,200
